Word Length, Fractional Bits, Prediction phase, avg Prediction accuracy, min Prediction accuracy, avg w1, avg b1, avg w2, avg b2, avg w2, avg b3, min w1, min b1, min w2, min b2, min w2, min b3
8, 4, 0.104, 0.0796159, -0.569018, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
8, 5, 0.104, 0.0984182, -0.29286, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
8, 6, 0.104, -0.0835873, -0.474714, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
10, 4, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
10, 5, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
10, 6, 0.104, 0.0837632, -0.21544, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
10, 7, 0.104, 0.0999027, -0.242406, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 4, 0.78, 0.875994, -0.41688, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 5, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 6, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 7, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 8, 0.104, 0.0837632, -0.21544, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
12, 9, 0.104, 0.0999027, -0.242406, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 4, 0.674, 0.71964, -0.720924, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 5, 0.882, 0.992385, 0.163337, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 6, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 7, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 8, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 9, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
14, 10, 0.104, 0.0837632, -0.21544, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 4, 0.648, 0.687293, -0.736119, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 5, 0.896, 0.994174, 0.257687, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 6, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 7, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 8, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 9, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 10, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 11, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
16, 12, 0.104, 0.0837632, -0.21544, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 4, 0.644, 0.679063, -0.730537, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 5, 0.898, 0.994506, 0.275243, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
